name,address,rooms,price,total_price,phone
绿城华发金陵月华,建邺兴隆街道兴隆大街以北、螺丝桥大街以西,['四居(6)'],76205元/m^2,1562-2439万元,400-176-0760 转 649510
华润置地中心,雨花陇淮路与华新路交汇处,"['一居(3)', '三居(2)', '四居(1)']",200-374元/m^2,700000-1850000万元,400-176-0760 转 628833
联发华发嘉和华府,江宁东山竹山路与潭园西路交汇处北侧约110米,[],42800元/m^2,382-823万元,400-176-0760 转 648631
金陵中心,秦淮东至冶修二路，南至机场河,[],47161元/m^2,412-1073万元,400-176-0760 转 617523
润珹中心|润玺,鼓楼南京市鼓楼区虎踞北路与模范中路交叉口7号线古平岗地铁站在建中,[],28000元/m^2,,暂无售楼处电话
滨江雅园（北外滩水城）,浦口江北新区柳州东路198号,"['二居(1)', '三居(3)']",22142元/m^2,190-288万元,400-176-0760 转 613595
华侨城翡翠天域,栖霞公办南外旁 疏港大道与欢乐大道交汇处,"['三居(3)', '四居(4)']",24300元/m^2,232-522万元,400-176-0760 转 846415
中冶盛世滨江—锦绣天玺,鼓楼鼓楼区宝塔桥西街155号,['五居以上(1)'],48000元/m^2,1500万元,400-176-0760 转 631479
碧桂园凤凰城,其他南京东·汤山旁·S6轻轨黄梅站,"['三居(3)', '四居(3)']",6500元/m^2,35-336万元,400-176-0760 转 662475
世茂璀璨滨江,鼓楼南通路118号,"['二居(1)', '三居(3)', '四居(2)']",311-635元/m^2,,400-176-0760 转 893190
保利荣盛合悦,六合江北大道快速路与龙华东路的交汇处,"['三居(5)', '四居(1)', '五居(1)']",待定元/m^2,,400-176-0760 转 609017
星河国际,玄武恒嘉路和华跃路交汇处,"['三居(1)', '四居(3)']",待定元/m^2,,400-176-0760 转 653546
金隅紫京叠院,浦口江浦街道黄山岭路21号,['四居(6)'],30000元/m^2,300-768万元,400-176-0760 转 863205
佳源国际天域,浦口浦滨路与卓越路交汇处,"['三居(5)', '四居(1)']",30300元/m^2,270-400万元,400-176-0760 转 818392
升龙桃花园著,建邺江心洲夹江大桥与葡园路交汇处,"['二居(3)', '三居(4)', '四居(2)']",36624元/m^2,,400-176-0760 转 653233
荣盛鹭岛荣府,六合马鞍街道鹭岛南路3号,"['二居(5)', '三居(20)', '四居(9)']",12069元/m^2,89-297万元,400-176-0760 转 653590
建发央誉,溧水石燕路与幸庄路交汇处,"['三居(2)', '四居(4)']",15781元/m^2,142-253万元,400-176-0760 转 653380
GARDEN 19丨贤坤花园,建邺贤坤路,"['三居(1)', '四居(1)']",58400元/m^2,1156-1472万元,400-176-0760 转 649925
中建·合玺东方,建邺建邺区南苑街道怡康街以南、黄山路以东地块,['四居(6)'],73000元/m^2,1221-1971万元,400-176-0760 转 653458
龙湖天曜城,浦口江苏省南京市浦口区光明路与台北路交叉口,"['三居(1)', '四居(2)']",200-423元/m^2,,400-176-0760 转 636093
招商·金陵序,建邺建邺区南苑街道江东中路以东、福园街以南地块,[],991-1887元/m^2,,400-176-0760 转 652449
南京信泰中心,鼓楼南京市鼓楼区江东街道江东北路与清凉门大街交界处西北侧 ,"['一居(1)', '二居(1)', '三居(1)']",32000元/m^2,,400-176-0760 转 645624
中信泰富·九庐,秦淮秦淮区佳营路与神机营路交汇处,"['三居(1)', '四居(6)']",60077元/m^2,751-1382万元,400-176-0760 转 652004
 中海·江南玖序,建邺建邺邺城路与平良大街交汇处,['四居(6)'],81446元/m^2,2715万元,400-176-0760 转 651849
金宸熙苑,秦淮南京市秦淮区中山东路518号,"['三居(2)', '四居(3)']",52500元/m^2,551-977万元,400-176-0760 转 651751
秦淮金茂府,秦淮校场大道以北，神机营路以西,"['三居(2)', '四居(2)']",57036元/m^2,816-1369万元,400-176-0760 转 641333
招商局中心·臻境,玄武北苑东路与大壮观路交汇处,"['三居(2)', '四居(2)']",51000元/m^2,600-920万元,400-176-0760 转 632264
龙湖丨兴邦·揽境,六合北外街与园林西路交汇处,['三居(3)'],12800元/m^2,114-148万元,400-176-0760 转 619880
高科江悦堂,栖霞燕津大道与新燕路交汇处,"['四居(3)', '五居(1)']",52000元/m^2,1118-1664万元,400-176-0760 转 650087
奥体建设瑞香园,浦口七里河大街,[],39593元/m^2,386-1944万元,400-176-0760 转 647602
牡丹大观天下,江宁麒麟片区纬七路以北、经二路以西地块（汇2地块），东至经二路，南至纬七路，西至现状，北至纬五路。,"['三居(1)', '四居(2)']",29989元/m^2,309-429万元,400-176-0760 转 634154
仁恒城市星瀚,浦口团结路,[],30500元/m^2,252-427万元,400-176-0760 转 649476
颐和·缦山,栖霞S6号线百水桥地铁站南300米,['三居(2)'],34375元/m^2,284-399万元,400-176-0760 转 642437
中海江湾境,"建邺建邺区江心洲中新大道以东、文泰街以北（22-007、22-013）地块,东至熙怡路；南至文泰街；西至规划中新大道；北至规划文治街。",['四居(2)'],54968元/m^2,784-1007万元,400-176-0760 转 644780
万科·都荟沐语,溧水南京市溧水区体育公园路与薛李东路交汇处,"['三居(1)', '四居(4)']",17908元/m^2,194-270万元,400-176-0760 转 627330
五矿澜悦溪山,江宁高新园正方大道与诗梦路交汇处,"['三居(2)', '四居(1)']",30645元/m^2,287-380万元,400-176-0760 转 737193
